gender,race,target_n
Male,Asian / Asian American,16
Female,Asian / Asian American,18
Male,Black / African American,29
Female,Black / African American,32
Male,Hispanic / Latino,46
Female,Hispanic / Latino,45
Male,Other,6
Female,Other,7
Male,White / Caucasian,148
Female,White / Caucasian,153
