f_profile_id,donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion,f_selection_method,target_population
F0015,LP0032,CES 2024 Common Content,1900273130,0.400714376324575,19,18-29,Male,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat,North Carolina,NC,,1900273130,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0016,LP0036,CES 2024 Common Content,1906097996,2.88181875454899,24,18-29,Male,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,Minnesota,MN,,1906097996,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Atheist,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0017,LP0037,CES 2024 Common Content,1906168626,6.79669557567509,18,18-29,Male,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,Florida,FL,,1906168626,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0018,LP0040,CES 2024 Common Content,1906528928,14.8970415077754,22,18-29,Male,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,North Carolina,NC,,1906528928,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Protestant,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0019,LP0041,CES 2024 Common Content,1906795352,12.7342935168218,26,18-29,Male,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,Iowa,IA,,1906795352,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0020,LP0045,CES 2024 Common Content,1907749354,1.16753107271569,25,18-29,Male,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Ohio,OH,,1907749354,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0021,LP0053,CES 2024 Common Content,1885006018,13.6128513346066,29,18-29,Male,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,New Jersey,NJ,,1885006018,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0022,LP0055,CES 2024 Common Content,1886929106,13.7804942888017,27,18-29,Male,Black / African American,High school diploma / GED,"Less than $30,000",Other,North Carolina,NC,,1886929106,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0023,LP0061,CES 2024 Common Content,1904910184,3.1784200218762,29,18-29,Male,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,Florida,FL,,1904910184,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0024,LP0066,CES 2024 Common Content,1879432206,1.41842847445777,22,18-29,Male,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat,California,CA,,1879432206,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0025,LP0068,CES 2024 Common Content,1882414670,5.99694265618198,25,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Republican,Florida,FL,,1882414670,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Eastern or Greek Orthodox,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0026,LP0069,CES 2024 Common Content,1882415262,4.63708202399192,18,18-29,Male,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Other,New Jersey,NJ,,1882415262,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0027,LP0070,CES 2024 Common Content,1882426960,10.0780290457047,27,18-29,Male,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Democrat,Oregon,OR,,1882426960,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Protestant,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0028,LP0072,CES 2024 Common Content,1882439054,1.11701891250184,28,18-29,Male,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,New York,NY,,1882439054,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0029,LP0073,CES 2024 Common Content,1885099064,6.69146695988698,18,18-29,Male,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Other,New Jersey,NJ,,1885099064,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0030,LP0074,CES 2024 Common Content,1885708768,4.63708202399192,26,18-29,Male,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent,New Jersey,NJ,,1885708768,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Something else,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0031,LP0075,CES 2024 Common Content,1886164010,4.80996418047911,25,18-29,Male,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Republican,Texas,TX,,1886164010,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0032,LP0077,CES 2024 Common Content,1886432286,1.2899843549395,25,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Republican,Washington,WA,,1886432286,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0033,LP0078,CES 2024 Common Content,1886682122,1.32338439432281,26,18-29,Male,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Independent,Florida,FL,,1886682122,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0034,LP0082,CES 2024 Common Content,1888953090,5.9210688959279,24,18-29,Male,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Other,Texas,TX,,1888953090,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0035,LP0083,CES 2024 Common Content,1889128352,3.09683685345704,24,18-29,Male,Hispanic / Latino,Less than high school,"Less than $30,000",Other,Connecticut,CT,,1889128352,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Something else,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0036,LP0084,CES 2024 Common Content,1891425616,13.7804942888017,18,18-29,Male,Hispanic / Latino,Less than high school,"Less than $30,000",Other,Florida,FL,,1891425616,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0037,LP0085,CES 2024 Common Content,1893074050,1.24693985514251,27,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Republican,California,CA,,1893074050,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0038,LP0088,CES 2024 Common Content,1900110528,13.1841712680944,29,18-29,Male,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Democrat,California,CA,,1900110528,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0039,LP0089,CES 2024 Common Content,1903016080,6.78762777664584,23,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent,Wisconsin,WI,,1903016080,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0040,LP0090,CES 2024 Common Content,1877322688,12.143764600998,25,18-29,Male,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Independent,Massachusetts,MA,,1877322688,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0041,LP0091,CES 2024 Common Content,1882725290,5.0791044785888,19,18-29,Male,Asian / Asian American,High school diploma / GED,"Less than $30,000",Independent,Texas,TX,,1882725290,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Something else,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0042,LP0092,CES 2024 Common Content,1886682642,1.30805459816306,29,18-29,Male,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Republican,Massachusetts,MA,,1886682642,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Atheist,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0043,LP0093,CES 2024 Common Content,1886940902,13.6128513346066,20,18-29,Male,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Democrat,California,CA,,1886940902,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0044,LP0094,CES 2024 Common Content,1889413622,6.00599637118826,28,18-29,Male,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Independent,Hawaii,HI,,1889413622,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0045,LP0095,CES 2024 Common Content,1890162432,3.66162397647073,27,18-29,Male,Asian / Asian American,High school diploma / GED,"$30,000 to $55,999",Democrat,Washington,WA,,1890162432,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
