donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion
LP0019,CES 2024 Common Content,1888330162,0.414187586090046,28,18-29,Male,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Maine,ME,,1888330162,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Eastern or Greek Orthodox
LP0020,CES 2024 Common Content,1888338456,1.22525852445387,28,18-29,Male,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,Utah,UT,,1888338456,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Mormon
LP0021,CES 2024 Common Content,1888368132,9.51192236475833,23,18-29,Male,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,North Carolina,NC,,1888368132,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Nothing in particular
LP0022,CES 2024 Common Content,1888480604,0.866709618739437,27,18-29,Male,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,Pennsylvania,PA,,1888480604,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Agnostic
LP0023,CES 2024 Common Content,1888546840,11.8242513410514,28,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Other,Tennessee,TN,,1888546840,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Nothing in particular
LP0024,CES 2024 Common Content,1890197464,4.23474882998127,29,18-29,Male,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,Colorado,CO,,1890197464,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Atheist
LP0025,CES 2024 Common Content,1890210130,0.481284249621482,25,18-29,Male,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,Rhode Island,RI,,1890210130,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Jewish
LP0026,CES 2024 Common Content,1891565814,1.44812380533784,20,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,New York,NY,,1891565814,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Atheist
LP0027,CES 2024 Common Content,1892054478,0.108297443691102,26,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Georgia,GA,,1892054478,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Nothing in particular
LP0028,CES 2024 Common Content,1892580124,6.3331323758318,18,18-29,Male,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,Illinois,IL,,1892580124,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Nothing in particular
LP0029,CES 2024 Common Content,1894096588,13.1841712680944,25,18-29,Male,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,California,CA,,1894096588,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Jewish
LP0030,CES 2024 Common Content,1894252024,1.33972166521193,18,18-29,Male,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,Michigan,MI,,1894252024,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Agnostic
LP0031,CES 2024 Common Content,1896009880,0.467068444499701,20,18-29,Male,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,Texas,TX,,1896009880,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Atheist
