model,phase,requests,estimated_prompt_tokens_rough,completion_tokens_budget,manifest,jsonl,status
google/gemma-4-31B-it,first_wave,12,16234,12288,/home/forsterk/silicon-sample-submission/pipeline/outputs/together_smoke/tiny_pre_api/google_gemma-4-31B-it/first_wave/request_manifest.csv,/home/forsterk/silicon-sample-submission/pipeline/outputs/together_smoke/tiny_pre_api/google_gemma-4-31B-it/first_wave/batch_input.jsonl,PASS
google/gemma-4-31B-it,stage_b,2,4880,2048,/home/forsterk/silicon-sample-submission/pipeline/outputs/together_smoke/tiny_pre_api/google_gemma-4-31B-it/stage_b_placeholder_validate_only/request_manifest.csv,/home/forsterk/silicon-sample-submission/pipeline/outputs/together_smoke/tiny_pre_api/google_gemma-4-31B-it/stage_b_placeholder_validate_only/batch_input.jsonl,PASS
