,Democrat,Independent,Other,Republican
Democrat,1956.5569864715071,507.4008794823466,23.2172758026359,988.0940350220424
Independent,1113.1406883376062,629.2235279894443,73.04723488857559,1206.5230406516112
Other,432.3178782341879,191.2013848208341,75.64189743388631,335.1520106592448
Republican,815.1320293049433,445.2602972183786,29.516274273989318,2015.0235830244724
