step,n_before,n_after,n_excluded
AGEP >= 18,3422888,2790132,632756
ST in 50 states or DC (excludes Puerto Rico / ST==72),2790132,2790132,0
PWGTP finite and > 0,2790132,2790132,0
valid SEX,2790132,2790132,0
valid HISP,2790132,2790132,0
valid RAC1P,2790132,2790132,0
valid SCHL,2790132,2790132,0
nonmissing HINCP,2790132,2612172,177960
valid ADJINC,2612172,2612172,0
