gender,race,target_n,achieved_n,exact_match
Male,Asian / Asian American,32,32,True
Female,Asian / Asian American,35,35,True
Male,Black / African American,58,58,True
Female,Black / African American,65,65,True
Male,Hispanic / Latino,91,91,True
Female,Hispanic / Latino,90,90,True
Male,Other,13,13,True
Female,Other,14,14,True
Male,White / Caucasian,296,296,True
Female,White / Caucasian,306,306,True
