latent_profile_id,donor_id,gender,age,age_band,race,education,education_approximated,income,income_approximated,party,state_abbr,religion,political_ideology,ces_commonweight,population_seed
LP0038,1906182642,Male,29,18-29,White / Caucasian,Less than high school,False,"Less than $30,000",False,Republican,LA,Nothing in particular,,4.594719119353,20260831
LP0039,1906182936,Male,23,18-29,White / Caucasian,Some college or Associate's degree,False,"$168,000 or more",False,Independent,KY,Roman Catholic,Liberal,3.2991826728621,20260831
LP0040,1906528928,Male,22,18-29,White / Caucasian,Some college or Associate's degree,False,"$30,000 to $55,999",True,Independent,NC,Protestant,Conservative,14.8970415077754,20260831
LP0041,1906795352,Male,26,18-29,White / Caucasian,Some college or Associate's degree,False,"Less than $30,000",False,Republican,IA,Roman Catholic,Moderate,12.7342935168218,20260831
LP0042,1907049918,Male,19,18-29,White / Caucasian,Some college or Associate's degree,False,"Less than $30,000",False,Independent,NE,Roman Catholic,Moderate,5.61124149896001,20260831
LP0043,1907431184,Male,21,18-29,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Democrat,WI,Protestant,Liberal,1.09524947654064,20260831
LP0044,1907489316,Male,19,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Republican,NE,Nothing in particular,,10.4461435786899,20260831
LP0045,1907749354,Male,25,18-29,White / Caucasian,Bachelor's degree,False,"$30,000 to $55,999",False,Democrat,OH,Agnostic,Very liberal,1.16753107271569,20260831
LP0046,1908964890,Male,25,18-29,White / Caucasian,Bachelor's degree,False,"$56,000 to $99,999",False,Republican,OH,Protestant,Conservative,2.68714188308863,20260831
LP0047,1909136290,Male,21,18-29,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Republican,MA,Jewish,Conservative,2.84047199168374,20260831
LP0048,1909245892,Male,26,18-29,White / Caucasian,Some college or Associate's degree,False,"$30,000 to $55,999",False,Independent,IL,Nothing in particular,Moderate,5.60350755094148,20260831
LP0049,1910575828,Male,28,18-29,White / Caucasian,High school diploma / GED,False,"Less than $30,000",False,Other,PA,Nothing in particular,,13.7804942888017,20260831
LP0050,1912653572,Male,18,18-29,White / Caucasian,Less than high school,False,"$168,000 or more",False,Republican,NC,Protestant,Conservative,13.7804942888017,20260831
