effect_id,planned_pairs,valid_paired_n,invalid_control_n,invalid_treatment_n,invalid_both_n
Silverman1035:Terrorism_worry:hyp3,500,500,0,0,0
Silverman1035:Terrorism_worry:hyp4,500,500,0,0,0
Stoker1063:Anger:hyp1,500,500,0,0,0
Stoker1063:Serious:hyp1,500,500,0,0,0
Stoker1063:Worry:hyp1,500,500,0,0,0
Terman1029:donating to HRAC:hyp1,500,500,0,0,0
Terman1029:donating to HRAC:hyp2,500,500,0,0,0
Terman1029:donating to HRAC:hyp3,500,500,0,0,0
Terman1029:naitonalist superiority:hyp1,500,500,0,0,0
Terman1029:naitonalist superiority:hyp2,500,500,0,0,0
Terman1029:naitonalist superiority:hyp3,500,500,0,0,0
Terman1029:perception of domestic human rights conditions:hyp1,500,500,0,0,0
Terman1029:perception of domestic human rights conditions:hyp2,500,500,0,0,0
Terman1029:perception of domestic human rights conditions:hyp3,500,500,0,0,0
WallaceS9:credibility:hyp1,500,500,0,0,0
WallaceS9:president_approval:hyp1,500,500,0,0,0
Williamson859:Food stamps:hyp1,500,500,0,0,0
Williamson859:Military:hyp1,500,500,0,0,0
Williamson859:Social Security:hyp1,500,500,0,0,0
bolsenM6:Providing Personal Pronouns:hyp1,500,500,0,0,0
bolsenM6:Providing Personal Pronouns:hyp2,500,500,0,0,0
bolsenM6:Providing Personal Pronouns:hyp3,500,500,0,0,0
bolsenM6:They/Them Pronouns in Forms:hyp1,500,500,0,0,0
bolsenM6:They/Them Pronouns in Forms:hyp2,500,500,0,0,0
bolsenM6:They/Them Pronouns in Forms:hyp3,500,500,0,0,0
bolsenM6:Using They/Them Pronouns:hyp1,500,500,0,0,0
bolsenM6:Using They/Them Pronouns:hyp2,500,500,0,0,0
bolsenM6:Using They/Them Pronouns:hyp3,500,500,0,0,0
bucci1408:Rewarding:hyp1,500,500,0,0,0
