study_id,effect_id,z_se_native,theta_L_pp,paired_n,theta_H_pp
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,0.10799999999999965,2.6999999999999913,500,-3.806216931216999
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,0.996,24.9,500,0.2996031746032468
Blair1131,Blair1131:Approve_Handling:hyp1,-0.020000000000000018,-0.33333333333333365,500,-3.174603174603185
Blair1131,Blair1131:Approve_Handling:hyp2,-0.258,-4.3,500,2.787226001511778
Braman751,Braman751:legitimacy:hyp1,-0.278,-4.633333333333334,500,4.0888503557992895
Braman751,Braman751:legitimacy:hyp2,-0.8940000000000001,-14.9,500,9.67123038848394
Braman751,Braman751:pass_legislation:hyp1,0.1559999999999997,3.119999999999994,500,4.400242939568855
Braman751,Braman751:scholar_credibility:hyp1,0.35070140280561124,35.07014028056113,499,3.760822510822393
Braman751,Braman751:scholar_credibility:hyp2,0.32000000000000006,32.00000000000001,500,8.059764309764294
CalarcoS38,CalarcoS38:Approval:hyp1,-3.346,-83.65,500,52.23890532544375
CalarcoS38,CalarcoS38:Approval:hyp2,-3.362,-84.05,500,44.20512820512816
CalarcoS38,CalarcoS38:Approval:hyp3,-0.20599999999999996,-5.149999999999999,500,-1.670517149457984
Campbell1308,Campbell1308:Gender Roles:hyp1,0.6199999999999992,6.199999999999992,500,0.7394481635415229
Campbell1308,Campbell1308:Political Engagement:hyp1,-0.11399999999999988,-1.1399999999999988,500,-1.4713170880159776
Campbell1308,Campbell1308:Political Responsiveness:hyp1,0.6000000000000001,6.000000000000001,500,-2.0877629986595982
Cohen1099,Cohen1099:Accounting:hyp1,0.0,0.0,500,-2.004065579566061
Cohen1099,Cohen1099:Accounting:hyp2,0.0,0.0,500,1.9744013212221407
Cohen1099,Cohen1099:History:hyp1,0.0,0.0,500,-0.4993380998519148
Cohen1099,Cohen1099:Nursing:hyp1,0.0,0.0,500,10.484057027454918
Cohen1099,Cohen1099:Nursing:hyp2,0.0,0.0,500,-2.550153009180567
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,-0.017999999999999794,-0.44999999999999485,500,-0.0430539609645008
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,-0.0040000000000000036,-0.10000000000000009,500,2.724358974358998
Enos700,Enos700:modern_racism1:hyp1,-0.14800000000000013,-3.7000000000000033,500,7.022022948282169
FaheyS78,FaheyS78:cancel culture:hyp1,-0.019999999999999574,-0.49999999999998934,500,1.3635320185244604
FarrowS6,FarrowS6:Disappointment:hyp1,-0.017999999999999794,-0.29999999999999655,500,-0.8282276280150103
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,0.08800000000000008,2.200000000000002,500,-0.5047108617115104
Haaland874,Haaland874:Affirmative action: Preference:hyp1,-0.002000000000000224,-0.050000000000005596,500,0.8480570471737559
Haaland874,Haaland874:Racial Discrimination perception:hyp1,0.07200000000000006,1.8000000000000016,500,-4.228100680461012
HankinsonS22,HankinsonS22:Clinic_support:hyp1,0.39800000000000013,9.950000000000003,500,-10.619247699079503
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,0.03000000000000025,0.3000000000000025,500,-1.2287409360579982
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,-0.05999999999999961,-0.5999999999999961,500,1.2555419079371022
Howard823,Howard823:financial_slack:hyp1,0.040000000000000036,0.6666666666666673,500,-1.7592100798181631
Howard823,Howard823:financial_slack:hyp2,-0.1259999999999999,-2.0999999999999983,500,0.1863215310104971
Iles1294,Iles1294:Confusing:hyp1,1.2539999999999996,20.89999999999999,500,0.7439034237726072
Iles1294,Iles1294:Confusing:hyp2,0.15799999999999947,2.6333333333333244,500,-2.821522309711272
Iles1294,Iles1294:Confusing:hyp3,-0.045999999999999375,-0.7666666666666563,500,-2.2476277003836307
Iles1294,Iles1294:Frustrated:hyp1,0.05799999999999983,1.4499999999999957,500,1.5927810077519589
Iles1294,Iles1294:Frustrated:hyp2,0.774,19.35,500,3.1496062992126097
Iles1294,Iles1294:Frustrated:hyp3,-0.05600000000000005,-1.4000000000000012,500,-1.3022410660205264
Iles1294,Iles1294:collaborative:hyp1,-0.14400000000000013,-2.400000000000002,500,-5.046656115697767
Iles1294,Iles1294:collaborative:hyp2,-2.8259999999999996,-47.099999999999994,500,-1.7358859554320372
Iles1294,Iles1294:collaborative:hyp3,-1.436,-23.933333333333334,500,-2.5227135069653794
Kennedy1017,Kennedy1017:Family_approval:hyp1,0.19599999999999973,1.9599999999999973,500,1.1214316314211104
Kennedy1017,Kennedy1017:Family_approval:hyp2,1.1240000000000006,11.240000000000006,500,5.027949595735615
Kennedy1017,Kennedy1017:Family_friends:hyp1,0.09600000000000009,0.9600000000000009,500,0.272495157598096
Kennedy1017,Kennedy1017:Family_friends:hyp2,-0.07399999999999984,-0.7399999999999984,500,5.909494900894474
Kennedy1017,Kennedy1017:Family_knowledge:hyp1,2.7039999999999997,27.04,500,6.742132970543002
Kennedy1017,Kennedy1017:Family_knowledge:hyp2,-1.3679999999999994,-13.679999999999996,500,6.178358411195594
KlarS44,KlarS44:efficacy:hyp1,-0.254,-4.233333333333333,500,-2.081202893610673
KlarS44,KlarS44:efficacy:hyp2,-0.06200000000000028,-1.0333333333333379,500,-2.3761854583773445
KlarS44,KlarS44:importance:hyp1,0.08000000000000007,2.0000000000000018,500,-0.5781333802627353
KlarS44,KlarS44:importance:hyp2,-0.010000000000000675,-0.2500000000000169,500,-1.6411496548937476
KlarS44,KlarS44:support_candidate:hyp1,-0.02200000000000024,-0.550000000000006,500,-3.373148264719505
KlarS44,KlarS44:support_candidate:hyp2,-0.028000000000000025,-0.7000000000000006,500,-0.5162190442972503
McGinty730,McGinty730:social_stigma:hyp1,0.496,12.4,500,-0.7689075630250009
McGinty730,McGinty730:social_stigma:hyp2,-0.20400000000000018,-5.100000000000005,500,3.9735044159308064
