study_id,effect_id,analytic_n,distinct_profile_signatures,profiles_with_any_missing_demographic,pct_profiles_with_any_missing_demographic,n_f,max_signature_multiplicity_in_panel,max_abs_signature_share_error_pp,same_panel_control_treatment,profile_fields_available,status,control_observed_n,treatment_observed_n,human_control_conditions,human_treatment_conditions,outcome,analytic_sample_definition,human_estimator,population_matching_method
CalarcoS38,CalarcoS38:Approval:hyp2,1355,203,350,25.830258302583026,500,22,0.11439114391143916,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,650,705,"HIGH STATUS, NO DRINKING, NO WARNING|HIGH STATUS, NO DRINKING, WARNING|LOW STATUS, NO DRINKING, NO WARNING|LOW STATUS, NO DRINKING, WARNING","HIGH STATUS, LIGHT DRINKING, NO WARNING|HIGH STATUS, LIGHT DRINKING, WARNING|LOW STATUS, LIGHT DRINKING, NO WARNING|LOW STATUS, LIGHT DRINKING, WARNING",Approval,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
CalarcoS38,CalarcoS38:Approval:hyp3,705,161,185,26.24113475177305,500,24,0.10921985815602833,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,331,374,"HIGH STATUS, LIGHT DRINKING, NO WARNING|HIGH STATUS, LIGHT DRINKING, WARNING","LOW STATUS, LIGHT DRINKING, NO WARNING|LOW STATUS, LIGHT DRINKING, WARNING",Approval,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Campbell1308,Campbell1308:Gender Roles:hyp1,991,37,233,23.511604439959637,500,46,0.10090817356205853,True,GENDER|race_4|pid_3|age_5,PASS,258,733,Control,Democratic story|Non-Partisan story|Republican story,Gender Roles,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Campbell1308,Campbell1308:Political Engagement:hyp1,973,37,230,23.638232271325798,500,47,0.10832476875642341,True,GENDER|race_4|pid_3|age_5,PASS,257,716,Control,Democratic story|Non-Partisan story|Republican story,Political Engagement,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Campbell1308,Campbell1308:Political Responsiveness:hyp1,974,37,229,23.51129363449692,500,47,0.1080082135523614,True,GENDER|race_4|pid_3|age_5,PASS,257,717,Control,Democratic story|Non-Partisan story|Republican story,Political Responsiveness,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Cohen1099,Cohen1099:Accounting:hyp1,1592,227,448,28.14070351758794,500,19,0.09748743718592966,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,794,798,"male, upper class, no debt|male, upper class, no info|male, upper class, student loans|male, working class, no debt|male, working class, no info|male, working class, student loans","female, upper class, no debt|female, upper class, no info|female, upper class, student loans|female, working class, no debt|female, working class, no info|female, working class, student loans",Accounting,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Cohen1099,Cohen1099:Accounting:hyp2,1079,202,297,27.52548656163114,500,19,0.10732159406858202,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,519,560,"female, upper class, no debt|female, working class, no debt|male, upper class, no debt|male, working class, no debt","female, upper class, student loans|female, working class, student loans|male, upper class, student loans|male, working class, student loans",Accounting,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Cohen1099,Cohen1099:History:hyp1,1596,226,448,28.07017543859649,500,19,0.10827067669172928,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,797,799,"male, upper class, no debt|male, upper class, no info|male, upper class, student loans|male, working class, no debt|male, working class, no info|male, working class, student loans","female, upper class, no debt|female, upper class, no info|female, upper class, student loans|female, working class, no debt|female, working class, no info|female, working class, student loans",History,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Cohen1099,Cohen1099:Nursing:hyp1,1591,225,445,27.96983029541169,500,19,0.10295411690760502,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,794,797,"male, upper class, no debt|male, upper class, no info|male, upper class, student loans|male, working class, no debt|male, working class, no info|male, working class, student loans","female, upper class, no debt|female, upper class, no info|female, upper class, student loans|female, working class, no debt|female, working class, no info|female, working class, student loans",Nursing,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Cohen1099,Cohen1099:Nursing:hyp2,1080,200,296,27.40740740740741,500,19,0.10740740740740741,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,519,561,"female, upper class, no debt|female, working class, no debt|male, upper class, no debt|male, working class, no debt","female, upper class, student loans|female, working class, student loans|male, upper class, student loans|male, working class, student loans",Nursing,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
