study_id,effect_id,analytic_n,distinct_profile_signatures,profiles_with_any_missing_demographic,pct_profiles_with_any_missing_demographic,n_f,max_signature_multiplicity_in_panel,max_abs_signature_share_error_pp,same_panel_control_treatment,profile_fields_available,status,control_observed_n,treatment_observed_n,human_control_conditions,human_treatment_conditions,outcome,analytic_sample_definition,human_estimator,population_matching_method
McGinty730,McGinty730:treatment_support:hyp3,1043,146,176,16.874400767018216,500,26,0.10412272291466923,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,341,702,No narrative,Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence|Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence,treatment_support,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:treatment_support:hyp4,1069,144,195,18.24134705332086,500,27,0.10645463049579046,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,341,728,No narrative,Unsuccessful Treatment Engagement (Individual Choice) + Family Violence|Unsuccessful treatment Engagement (Policy Failure) + Family Violence,treatment_support,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp1,693,126,123,17.748917748917748,500,25,0.10129870129870125,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,340,353,No narrative,Successful Treatment Engagement & Recovery,willingness_to_pay_mentalhealthservices,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp2,1048,144,175,16.698473282442748,500,27,0.10458015267175574,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,340,708,No narrative,Unsuccessful Treatment Engagement (Individual Choice)|Unsuccessful Treatment Engagement (Policy Failure),willingness_to_pay_mentalhealthservices,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp3,1042,146,176,16.89059500959693,500,26,0.10403071017274473,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,340,702,No narrative,Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence|Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence,willingness_to_pay_mentalhealthservices,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp4,1069,143,195,18.24134705332086,500,27,0.10645463049579046,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,340,729,No narrative,Unsuccessful Treatment Engagement (Individual Choice) + Family Violence|Unsuccessful treatment Engagement (Policy Failure) + Family Violence,willingness_to_pay_mentalhealthservices,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Melin1066,Melin1066:Capable:hyp1,548,158,161,29.37956204379562,500,19,0.12992700729927004,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,275,273,“Cosmetics/Automotive”,“Military/Automotive”,Capable,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Melin1066,Melin1066:Capable:hyp2,567,163,181,31.922398589065256,500,17,0.12910052910052905,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,297,270,“Cosmetics/Consulting”,“Military/Consulting”,Capable,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Melin1066,Melin1066:Capable:hyp3,562,156,160,28.469750889679716,500,20,0.13380782918149467,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,262,300,“Cosmetics/Wedding”,“Military/Wedding”,Capable,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Melin1066,Melin1066:masculine:hyp1,524,152,150,28.625954198473284,500,18,0.14503816793893126,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,261,263,“Cosmetics/Automotive”,“Military/Automotive”,masculine,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Melin1066,Melin1066:masculine:hyp2,545,161,172,31.559633027522935,500,15,0.1339449541284404,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,284,261,“Cosmetics/Consulting”,“Military/Consulting”,masculine,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Melin1066,Melin1066:masculine:hyp3,536,152,155,28.917910447761194,500,18,0.1462686567164179,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,244,292,“Cosmetics/Wedding”,“Military/Wedding”,masculine,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Merolla843,Merolla843:foreign_policy:hyp1,324,90,59,18.209876543209877,500,31,0.10864197530864195,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,165,159,relaxation_condition,anger_condtion,foreign_policy,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Merolla843,Merolla843:foreign_policy:hyp2,338,91,55,16.272189349112427,500,34,0.10414201183431954,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,165,173,relaxation_condition,fear/anxiety_condtion,foreign_policy,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Merolla843,Merolla843:foreign_policy:hyp3,332,98,56,16.867469879518072,500,35,0.10120481927710845,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,173,159,fear/anxiety_condtion,anger_condtion,foreign_policy,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Merolla843,Merolla843:hillary_clinton_leadership:hyp1,406,105,68,16.748768472906406,500,30,0.10738916256157637,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,195,211,relaxation_condition,fear/anxiety_condtion,hillary_clinton_leadership,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Merolla843,Merolla843:hillary_clinton_leadership:hyp2,408,111,71,17.401960784313726,500,31,0.10980392156862748,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,197,211,anger_condtion,fear/anxiety_condtion,hillary_clinton_leadership,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Merolla843,Merolla843:trump_leadership:hyp1,392,109,76,19.387755102040817,500,27,0.10408163265306115,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,195,197,relaxation_condition,anger_condtion,trump_leadership,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Merolla843,Merolla843:trump_leadership:hyp2,408,111,71,17.401960784313726,500,31,0.10980392156862748,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,211,197,fear/anxiety_condtion,anger_condtion,trump_leadership,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp1,2101,188,519,24.70252260828177,500,25,0.10575916230366467,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1049,1052,White Cisgender Woman|White Transgender Woman,Black Cisgender Woman|Black Transgender Woman,BELIEVABLE,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp2,2101,188,519,24.70252260828177,500,25,0.10575916230366467,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1047,1054,Black Cisgender Woman|White Cisgender Woman,Black Transgender Woman|White Transgender Woman,BELIEVABLE,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp3,1041,155,247,23.727185398655138,500,26,0.10393852065321806,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,518,523,White Cisgender Woman,Black Transgender Woman,BELIEVABLE,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp1,2107,190,520,24.679639297579495,500,26,0.105078310393925,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1054,1053,White Cisgender Woman|White Transgender Woman,Black Cisgender Woman|Black Transgender Woman,COMPENSATION,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp2,2107,190,520,24.679639297579495,500,26,0.105078310393925,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1051,1056,Black Cisgender Woman|White Cisgender Woman,Black Transgender Woman|White Transgender Woman,COMPENSATION,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp3,1048,157,250,23.85496183206107,500,26,0.10458015267175574,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,523,525,White Cisgender Woman,Black Transgender Woman,COMPENSATION,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp1,2105,190,521,24.75059382422803,500,25,0.10498812351543943,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1050,1055,White Cisgender Woman|White Transgender Woman,Black Cisgender Woman|Black Transgender Woman,PERCEIVED HARM,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp2,2105,190,521,24.75059382422803,500,25,0.10498812351543943,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1050,1055,Black Cisgender Woman|White Cisgender Woman,Black Transgender Woman|White Transgender Woman,PERCEIVED HARM,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp3,1043,157,249,23.873441994247365,500,26,0.10412272291466923,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,519,524,White Cisgender Woman,Black Transgender Woman,PERCEIVED HARM,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
MunschS68,MunschS68:Morgan_Committed:hyp1,707,149,154,21.782178217821784,500,23,0.10183875530410183,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,347,360,40 hours/female/1%|40 hours/female/60%|40 hours/male/1%|40 hours/male/20%|40 hours/male/60%,50 hours/female/1%|50 hours/female/20%|50 hours/female/60%|50 hours/male/1%|50 hours/male/20%|50 hours/male/60%,Morgan_Committed,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
SchaadS62,SchaadS62:still_identify:hyp1,2110,189,473,22.417061611374407,500,23,0.1052132701421801,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1051,1059,v1 Narrative Conforming Transgender Woman|v2 Narrative Nonconforming Transgender Woman|v3 Narrative Conforming AMAB Non-Binary Person|v4 Narrative Nonconforming AMAB Non-Binary Person,v5 Narrative Conforming Transgender Man|v6 Narrative Nonconforming Transgender Man|v7 Narrative Conforming AFAB Non-Binary Person|v8 Narrative Nonconforming AFAB Non-Binary Person,still_identify,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
SchaadS62,SchaadS62:still_identify:hyp2,2110,189,473,22.417061611374407,500,23,0.1052132701421801,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1067,1043,v1 Narrative Conforming Transgender Woman|v2 Narrative Nonconforming Transgender Woman|v5 Narrative Conforming Transgender Man|v6 Narrative Nonconforming Transgender Man,v3 Narrative Conforming AMAB Non-Binary Person|v4 Narrative Nonconforming AMAB Non-Binary Person|v7 Narrative Conforming AFAB Non-Binary Person|v8 Narrative Nonconforming AFAB Non-Binary Person,still_identify,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
SchaadS62,SchaadS62:still_identify:hyp3,2110,189,473,22.417061611374407,500,23,0.1052132701421801,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,1088,1022,v1 Narrative Conforming Transgender Woman|v3 Narrative Conforming AMAB Non-Binary Person|v5 Narrative Conforming Transgender Man|v7 Narrative Conforming AFAB Non-Binary Person,v2 Narrative Nonconforming Transgender Woman|v4 Narrative Nonconforming AMAB Non-Binary Person|v6 Narrative Nonconforming Transgender Man|v8 Narrative Nonconforming AFAB Non-Binary Person,still_identify,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Schnabel903,Schnabel903:Feminine:hyp1,2746,211,851,30.990531682447195,500,26,0.10866715222141296,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,2056,690,Version 2|Version 3|Version 4|Version 6|Version 7|Version 8,Version 1|Version 5,Feminine,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Schnabel903,Schnabel903:Masculine:hyp1,2753,212,849,30.8390846349437,500,25,0.10940791863421721,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,2060,693,Version 2|Version 3|Version 4|Version 6|Version 7|Version 8,Version 1|Version 5,Masculine,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
ShannonS2,ShannonS2:tax credit effective:hyp1,831,175,322,38.74849578820698,500,23,0.12033694344163659,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,407,424,Control,Immigrant without savings,tax credit effective,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
ShannonS2,ShannonS2:tax credit effective:hyp2,841,179,346,41.14149821640904,500,26,0.11890606420927466,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,424,417,Immigrant without savings,Illegal without savings,tax credit effective,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
ShannonS2,ShannonS2:tax credit effective:hyp3,1658,205,651,39.26417370325694,500,20,0.10156815440289504,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,841,817,Illegal without savings|Immigrant without savings,Illegal|Immigrant,tax credit effective,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Americans_Killed:hyp1,1333,187,340,25.506376594148538,500,23,0.10007501875468867,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,260,1073,Control group: No Corrective Information,"Treatment 1: Corrective Information, No Elite Endorsement|Treatment 2: Corrective Information, Democratic Endorsement|Treatment 3: Corrective Information, Republican Endorsement|Treatment 4: Corrective Information, Military Endorsement",Americans_Killed,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Americans_Killed:hyp2,1073,177,281,26.18825722273998,500,23,0.10680335507921715,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,262,811,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 2: Corrective Information, Democratic Endorsement|Treatment 3: Corrective Information, Republican Endorsement|Treatment 4: Corrective Information, Military Endorsement",Americans_Killed,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Americans_Killed:hyp3,539,137,137,25.41743970315399,500,28,0.14211502782931354,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,262,277,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 3: Corrective Information, Republican Endorsement",Americans_Killed,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Americans_Killed:hyp4,520,143,138,26.53846153846154,500,22,0.1461538461538462,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,262,258,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 4: Corrective Information, Military Endorsement",Americans_Killed,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Terrorism_likely:hyp1,1295,183,330,25.482625482625483,500,24,0.0972972972972972,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,250,1045,Control group: No Corrective Information,"Treatment 1: Corrective Information, No Elite Endorsement|Treatment 2: Corrective Information, Democratic Endorsement|Treatment 3: Corrective Information, Republican Endorsement|Treatment 4: Corrective Information, Military Endorsement",Terrorism_likely,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Terrorism_likely:hyp2,1045,174,271,25.933014354066987,500,24,0.10430622009569376,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,253,792,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 2: Corrective Information, Democratic Endorsement|Treatment 3: Corrective Information, Republican Endorsement|Treatment 4: Corrective Information, Military Endorsement",Terrorism_likely,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Terrorism_likely:hyp3,523,134,132,25.239005736137667,500,28,0.1560229445506692,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,253,270,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 3: Corrective Information, Republican Endorsement",Terrorism_likely,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Terrorism_likely:hyp4,502,140,131,26.095617529880478,500,22,0.18486055776892468,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,253,249,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 4: Corrective Information, Military Endorsement",Terrorism_likely,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Terrorism_worry:hyp1,1321,183,336,25.435276305828918,500,23,0.10280090840272521,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,256,1065,Control group: No Corrective Information,"Treatment 1: Corrective Information, No Elite Endorsement|Treatment 2: Corrective Information, Democratic Endorsement|Treatment 3: Corrective Information, Republican Endorsement|Treatment 4: Corrective Information, Military Endorsement",Terrorism_worry,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Terrorism_worry:hyp2,1065,173,276,25.91549295774648,500,24,0.10610328638497653,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,259,806,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 2: Corrective Information, Democratic Endorsement|Treatment 3: Corrective Information, Republican Endorsement|Treatment 4: Corrective Information, Military Endorsement",Terrorism_worry,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Terrorism_worry:hyp3,533,135,134,25.140712945590995,500,28,0.13808630393996255,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,259,274,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 3: Corrective Information, Republican Endorsement",Terrorism_worry,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Silverman1035,Silverman1035:Terrorism_worry:hyp4,517,140,136,26.30560928433269,500,22,0.1473887814313346,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,259,258,"Treatment 1: Corrective Information, No Elite Endorsement","Treatment 4: Corrective Information, Military Endorsement",Terrorism_worry,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Stoker1063,Stoker1063:Anger:hyp1,1786,198,474,26.539753639417693,500,20,0.10369540873460259,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,884,902,DrinWat_Pr_N|HSAch_Pr_N|HospDes_Pr_N|MarDeb_Pr_N,DrinWat_Pr_P|HSAch_Pr_P|HospDes_Pr_P|MarDeb_Pr_P,Anger,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Stoker1063,Stoker1063:Serious:hyp1,1787,198,475,26.580861779518745,500,20,0.10263010632344735,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,884,903,DrinWat_Pr_N|HSAch_Pr_N|HospDes_Pr_N|MarDeb_Pr_N,DrinWat_Pr_P|HSAch_Pr_P|HospDes_Pr_P|MarDeb_Pr_P,Serious,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Stoker1063,Stoker1063:Worry:hyp1,1788,199,478,26.7337807606264,500,20,0.10156599552572712,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,883,905,DrinWat_Pr_N|HSAch_Pr_N|HospDes_Pr_N|MarDeb_Pr_N,DrinWat_Pr_P|HSAch_Pr_P|HospDes_Pr_P|MarDeb_Pr_P,Worry,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:donating to HRAC:hyp1,1869,67,431,23.060460139111825,500,29,0.10069555912252566,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,374,1495,Rights Group Condemns Abuses Worldwide,International Rights Group Codemns Abuse in US|International Rights Group Condemns Abuses in the US- “reintegrative”|International Rights Group Condemns Abuses in the US- “stigmatic”|New York Rights Group Condemns Abuses in the United States,donating to HRAC,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:donating to HRAC:hyp2,763,63,169,22.14941022280472,500,30,0.11061598951507198,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,380,383,New York Rights Group Condemns Abuses in the United States,International Rights Group Codemns Abuse in US,donating to HRAC,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:donating to HRAC:hyp3,732,64,180,24.59016393442623,500,27,0.10273224043715837,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,381,351,International Rights Group Condemns Abuses in the US- “reintegrative”,International Rights Group Condemns Abuses in the US- “stigmatic”,donating to HRAC,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:naitonalist superiority:hyp1,1878,67,434,23.109691160809373,500,29,0.10777422790202344,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,372,1506,Rights Group Condemns Abuses Worldwide,International Rights Group Codemns Abuse in US|International Rights Group Condemns Abuses in the US- “reintegrative”|International Rights Group Condemns Abuses in the US- “stigmatic”|New York Rights Group Condemns Abuses in the United States,naitonalist superiority,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:naitonalist superiority:hyp2,772,63,173,22.409326424870468,500,30,0.11813471502590675,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,385,387,New York Rights Group Condemns Abuses in the United States,International Rights Group Codemns Abuse in US,naitonalist superiority,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:naitonalist superiority:hyp3,734,64,180,24.52316076294278,500,27,0.1013623978201636,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,384,350,International Rights Group Condemns Abuses in the US- “reintegrative”,International Rights Group Condemns Abuses in the US- “stigmatic”,naitonalist superiority,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:perception of domestic human rights conditions:hyp1,1879,67,436,23.203831825439064,500,29,0.10037253858435347,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,374,1505,Rights Group Condemns Abuses Worldwide,International Rights Group Codemns Abuse in US|International Rights Group Condemns Abuses in the US- “reintegrative”|International Rights Group Condemns Abuses in the US- “stigmatic”|New York Rights Group Condemns Abuses in the United States,perception of domestic human rights conditions,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:perception of domestic human rights conditions:hyp2,769,63,172,22.3667100130039,500,30,0.11105331599479823,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,385,384,New York Rights Group Condemns Abuses in the United States,International Rights Group Codemns Abuse in US,perception of domestic human rights conditions,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Terman1029,Terman1029:perception of domestic human rights conditions:hyp3,736,64,182,24.72826086956522,500,28,0.10543478260869564,True,GENDER|race_4|pid_3|age_5|EDUC4,PASS,385,351,International Rights Group Condemns Abuses in the US- “reintegrative”,International Rights Group Condemns Abuses in the US- “stigmatic”,perception of domestic human rights conditions,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
WallaceS9,WallaceS9:credibility:hyp1,997,171,261,26.17853560682046,500,20,0.10030090270812438,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,228,769,Group 1,Group 3|Group 5|Group 7,credibility,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
WallaceS9,WallaceS9:president_approval:hyp1,1002,172,262,26.147704590818364,500,20,0.1001996007984032,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,229,773,Group 1,Group 3|Group 5|Group 7,president_approval,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
