study_id,effect_id,demographic_variable,category,human_analytic_pct,current_complete_case_source_pct,abs_pp_difference
Blair1131,Blair1131:Approve_Handling:hyp1,age_5,Older than 50,48.67724867724868,53.97225725094577,5.295008573697096
Blair1131,Blair1131:Approve_Handling:hyp1,age_5,Younger than 50,51.32275132275132,46.02774274905423,5.295008573697096
Blair1131,Blair1131:Approve_Handling:hyp1,EDUC4,College,31.746031746031743,38.20933165195461,6.463299905922863
Blair1131,Blair1131:Approve_Handling:hyp1,EDUC4,Non-College,68.25396825396825,61.79066834804539,6.4632999059228595
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,Conservative,26.455026455026452,29.508196721311474,3.053170266285022
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,Liberal,42.592592592592595,47.540983606557376,4.94839101396478
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,Moderate,19.841269841269842,22.950819672131146,3.1095498308613045
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,__MISSING__,11.11111111111111,0.0,11.11111111111111
Blair1131,Blair1131:Approve_Handling:hyp2,GENDER,Female,48.05194805194805,51.19798234552333,3.1460342935752763
Blair1131,Blair1131:Approve_Handling:hyp2,GENDER,Male,51.94805194805194,48.80201765447667,3.146034293575269
Blair1131,Blair1131:Approve_Handling:hyp2,race_4,Black,10.38961038961039,13.997477931904163,3.607867542293773
Blair1131,Blair1131:Approve_Handling:hyp2,race_4,White,65.97402597402598,86.00252206809584,20.028496094069865
Blair1131,Blair1131:Approve_Handling:hyp2,race_4,__MISSING__,23.636363636363637,0.0,23.636363636363637
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,Democrat,49.87012987012987,47.41488020176545,2.4552496683644236
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,Independent,16.103896103896105,13.493064312736443,2.6108317911596615
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,Republican,33.246753246753244,39.09205548549811,5.845302238744864
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,__MISSING__,0.7792207792207793,0.0,0.7792207792207793
Blair1131,Blair1131:Approve_Handling:hyp2,age_5,Older than 50,45.714285714285715,53.97225725094577,8.257971536660058
Blair1131,Blair1131:Approve_Handling:hyp2,age_5,Younger than 50,54.285714285714285,46.02774274905423,8.257971536660058
Blair1131,Blair1131:Approve_Handling:hyp2,EDUC4,College,35.84415584415584,38.20933165195461,2.3651758077987637
Blair1131,Blair1131:Approve_Handling:hyp2,EDUC4,Non-College,64.15584415584415,61.79066834804539,2.3651758077987566
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,Conservative,22.597402597402596,29.508196721311474,6.910794123908879
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,Liberal,41.03896103896104,47.540983606557376,6.502022567596335
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,Moderate,28.83116883116883,22.950819672131146,5.880349159037685
