study_id,effect_id,total_source_respondent_rows,rows_contributing_to_human_control_mean,rows_contributing_to_human_treatment_mean,pooled_rows_with_observed_y_used_by_human_estimator,rows_retained_by_current_complete_demographic_rule,human_analytic_rows_lost_due_to_missing_demographics,pct_human_analytic_rows_lost_due_to_missing_demographics,max_abs_demographic_distribution_discrepancy_pp,GENDER_missing_rate_pct,race_4_missing_rate_pct,pid_3_missing_rate_pct,age_5_missing_rate_pct,EDUC4_missing_rate_pct,ideo_3_missing_rate_pct
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,391,200,189,389,334,55,14.138817480719794,14.138817480719796,0.0,14.138817480719796,0.0,0.0,0.0,0.2570694087403599
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,391,200,189,389,335,54,13.881748071979434,13.881748071979436,0.0,13.881748071979436,0.0,0.0,0.0,0.2570694087403599
Blair1131,Blair1131:Approve_Handling:hyp1,1149,189,189,378,255,123,32.53968253968254,24.6031746031746,0.0,24.6031746031746,0.26455026455026454,0.0,0.0,11.11111111111111
Blair1131,Blair1131:Approve_Handling:hyp2,1149,196,189,385,272,113,29.350649350649352,23.636363636363637,0.0,23.636363636363637,0.7792207792207793,0.0,0.0,7.532467532467532
Braman751,Braman751:legitimacy:hyp1,801,277,254,531,423,108,20.338983050847457,19.962335216572505,0.0,19.962335216572505,0.0,0.0,0.0,0.3766478342749529
Braman751,Braman751:legitimacy:hyp2,801,277,265,542,430,112,20.66420664206642,20.29520295202952,0.0,20.29520295202952,0.0,0.0,0.0,0.5535055350553505
Braman751,Braman751:pass_legislation:hyp1,801,356,370,726,581,145,19.97245179063361,19.834710743801654,0.0,19.834710743801654,0.0,0.0,0.0,0.13774104683195593
Braman751,Braman751:scholar_credibility:hyp1,801,176,168,344,274,70,20.348837209302324,20.058139534883722,0.0,20.058139534883722,0.0,0.0,0.0,0.29069767441860467
Braman751,Braman751:scholar_credibility:hyp2,801,176,162,338,269,69,20.414201183431953,20.118343195266274,0.0,20.118343195266274,0.0,0.0,0.0,0.2958579881656805
CalarcoS38,CalarcoS38:Approval:hyp1,2005,650,1352,2002,1453,549,27.422577422577422,22.827172827172827,0.0,22.827172827172827,0.0999000999000999,0.0,0.0,6.8431568431568435
CalarcoS38,CalarcoS38:Approval:hyp2,2005,650,705,1355,1005,350,25.830258302583026,21.328413284132843,0.0,21.328413284132843,0.07380073800738007,0.0,0.0,6.4206642066420665
CalarcoS38,CalarcoS38:Approval:hyp3,2005,331,374,705,520,185,26.24113475177305,21.27659574468085,0.0,21.27659574468085,0.14184397163120568,0.0,0.0,6.524822695035461
Campbell1308,Campbell1308:Gender Roles:hyp1,1000,258,733,991,758,233,23.511604439959637,23.41069626639758,0.0,23.41069626639758,0.20181634712411706,0.0,,
Campbell1308,Campbell1308:Political Engagement:hyp1,1000,257,716,973,743,230,23.638232271325798,23.53545734840699,0.0,23.53545734840699,0.20554984583761562,0.0,,
Campbell1308,Campbell1308:Political Responsiveness:hyp1,1000,257,717,974,745,229,23.51129363449692,23.408624229979466,0.0,23.408624229979466,0.20533880903490762,0.0,,
Cohen1099,Cohen1099:Accounting:hyp1,1610,794,798,1592,1144,448,28.14070351758794,22.047738693467338,0.0,22.047738693467338,0.6909547738693468,0.0,0.0,8.040201005025125
Cohen1099,Cohen1099:Accounting:hyp2,1610,519,560,1079,782,297,27.52548656163114,21.1306765523633,0.0,21.1306765523633,0.8341056533827619,0.0,0.0,8.2483781278962
Cohen1099,Cohen1099:History:hyp1,1610,797,799,1596,1148,448,28.07017543859649,22.11779448621554,0.0,22.11779448621554,0.6892230576441103,0.0,0.0,7.894736842105263
Cohen1099,Cohen1099:Nursing:hyp1,1610,794,797,1591,1146,445,27.96983029541169,22.061596480201132,0.0,22.061596480201132,0.6285355122564426,0.0,0.0,7.919547454431175
Cohen1099,Cohen1099:Nursing:hyp2,1610,519,561,1080,784,296,27.40740740740741,21.11111111111111,0.0,21.11111111111111,0.8333333333333334,0.0,0.0,8.148148148148149
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,2073,260,268,528,418,110,20.833333333333332,20.643939393939394,0.0,20.643939393939394,0.0,0.0,0.0,0.1893939393939394
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,2073,260,258,518,406,112,21.62162162162162,21.235521235521233,0.0,21.235521235521233,0.0,0.0,0.0,0.3861003861003861
Enos700,Enos700:modern_racism1:hyp1,733,263,452,715,578,137,19.16083916083916,18.321678321678323,0.0,18.321678321678323,0.0,0.0,0.0,0.9790209790209791
FaheyS78,FaheyS78:cancel culture:hyp1,2009,992,1010,2002,1524,478,23.876123876123877,22.977022977022976,0.0,22.977022977022976,0.04995004995004995,0.0,0.0,1.4485514485514486
FarrowS6,FarrowS6:Disappointment:hyp1,995,483,491,974,567,407,41.7864476386037,25.564681724845993,0.0,22.99794661190965,24.64065708418891,0.0,0.0,25.564681724845993
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,1542,754,779,1533,1169,364,23.744292237442924,22.961513372472275,0.0,22.961513372472275,0.2609262883235486,0.0,0.0,1.0437051532941943
Haaland874,Haaland874:Affirmative action: Preference:hyp1,1542,753,782,1535,1173,362,23.583061889250814,22.80130293159609,0.0,22.80130293159609,0.19543973941368079,0.0,0.0,1.0423452768729642
Haaland874,Haaland874:Racial Discrimination perception:hyp1,1542,757,781,1538,1173,365,23.73211963589077,22.886866059817944,0.0,22.886866059817944,0.26007802340702213,0.0,0.0,1.1053315994798438
HankinsonS22,HankinsonS22:Clinic_support:hyp1,2008,980,1020,2000,1398,602,30.1,22.6,0.0,22.6,0.15,0.0,0.0,10.65
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,1288,444,410,854,705,149,17.447306791569087,17.21311475409836,0.0,17.21311475409836,0.0,0.0,0.0,0.234192037470726
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,1288,417,410,827,669,158,19.105199516324063,18.742442563482467,0.0,18.742442563482467,0.0,0.0,0.0,0.36275695284159615
Howard823,Howard823:financial_slack:hyp1,1288,443,408,851,702,149,17.508813160987074,17.2737955346651,0.0,17.2737955346651,0.0,0.0,0.0,0.23501762632197415
Howard823,Howard823:financial_slack:hyp2,1288,417,408,825,665,160,19.393939393939394,19.03030303030303,0.0,19.03030303030303,0.0,0.0,0.0,0.36363636363636365
Iles1294,Iles1294:Confusing:hyp1,1027,258,768,1026,783,243,23.68421052631579,22.514619883040936,0.0,22.514619883040936,0.3898635477582846,0.0,0.0,1.6569200779727096
Iles1294,Iles1294:Confusing:hyp2,1027,254,254,508,380,128,25.19685039370079,24.21259842519685,0.0,24.21259842519685,0.0,0.0,0.0,1.3779527559055118
Iles1294,Iles1294:Confusing:hyp3,1027,260,254,514,392,122,23.735408560311285,22.17898832684825,0.0,22.17898832684825,0.38910505836575876,0.0,0.0,1.7509727626459144
Iles1294,Iles1294:Frustrated:hyp1,1027,258,768,1026,783,243,23.68421052631579,22.514619883040936,0.0,22.514619883040936,0.3898635477582846,0.0,0.0,1.6569200779727096
Iles1294,Iles1294:Frustrated:hyp2,1027,254,254,508,380,128,25.19685039370079,24.21259842519685,0.0,24.21259842519685,0.0,0.0,0.0,1.3779527559055118
Iles1294,Iles1294:Frustrated:hyp3,1027,260,254,514,392,122,23.735408560311285,22.17898832684825,0.0,22.17898832684825,0.38910505836575876,0.0,0.0,1.7509727626459144
Iles1294,Iles1294:collaborative:hyp1,1027,258,769,1027,784,243,23.661148977604675,22.49269717624148,0.0,22.49269717624148,0.3894839337877313,0.0,0.0,1.6553067185978578
Iles1294,Iles1294:collaborative:hyp2,1027,255,254,509,381,128,25.147347740667975,24.165029469548134,0.0,24.165029469548134,0.0,0.0,0.0,1.37524557956778
Iles1294,Iles1294:collaborative:hyp3,1027,260,254,514,392,122,23.735408560311285,22.17898832684825,0.0,22.17898832684825,0.38910505836575876,0.0,0.0,1.7509727626459144
Kennedy1017,Kennedy1017:Family_approval:hyp1,2595,648,634,1282,907,375,29.25117004680187,20.12480499219969,0.0,20.12480499219969,0.0,0.0,0.0,12.402496099843994
Kennedy1017,Kennedy1017:Family_approval:hyp2,2595,1281,1282,2563,1803,760,29.652750682793602,20.561841591884512,0.0,20.561841591884512,0.0,0.0,0.0,12.251268045259462
Kennedy1017,Kennedy1017:Family_friends:hyp1,2595,648,631,1279,906,373,29.16340891321345,20.172009382329943,0.0,20.172009382329943,0.0,0.0,0.0,12.275215011727912
Kennedy1017,Kennedy1017:Family_friends:hyp2,2595,1287,1279,2566,1803,763,29.734996102883866,20.73265783320343,0.0,20.73265783320343,0.0,0.0,0.0,12.197973499610288
Kennedy1017,Kennedy1017:Family_knowledge:hyp1,2595,642,632,1274,902,372,29.199372056514914,20.09419152276295,0.0,20.09419152276295,0.0,0.0,0.0,12.323390894819466
Kennedy1017,Kennedy1017:Family_knowledge:hyp2,2595,1286,1274,2560,1799,761,29.7265625,20.703125,0.0,20.703125,0.0,0.0,0.0,12.1875
KlarS44,KlarS44:efficacy:hyp1,2118,702,677,1379,990,389,28.20884699057288,21.174764321972443,0.0,21.174764321972443,0.580130529369108,0.0,0.0,8.556925308194344
KlarS44,KlarS44:efficacy:hyp2,2118,702,730,1432,1025,407,28.421787709497206,21.15921787709497,0.0,21.15921787709497,0.7681564245810055,0.0,0.0,9.35754189944134
KlarS44,KlarS44:importance:hyp1,2118,704,678,1382,992,390,28.21997105643994,21.201157742402316,0.0,21.201157742402316,0.5788712011577424,0.0,0.0,8.5383502170767
KlarS44,KlarS44:importance:hyp2,2118,704,731,1435,1027,408,28.43205574912892,21.18466898954704,0.0,21.18466898954704,0.7665505226480837,0.0,0.0,9.337979094076655
KlarS44,KlarS44:support_candidate:hyp1,2118,705,676,1381,993,388,28.095582910934105,21.14409847936278,0.0,21.14409847936278,0.5792903692976104,0.0,0.0,8.472121650977552
KlarS44,KlarS44:support_candidate:hyp2,2118,705,732,1437,1030,407,28.322894919972164,21.15518441196938,0.0,21.15518441196938,0.7654836464857342,0.0,0.0,9.255393180236604
McGinty730,McGinty730:social_stigma:hyp1,2848,340,350,690,567,123,17.82608695652174,17.53623188405797,0.0,17.53623188405797,0.0,0.0,0.0,0.2898550724637681
McGinty730,McGinty730:social_stigma:hyp2,2848,340,706,1046,870,176,16.826003824091778,16.539196940726576,0.0,16.539196940726576,0.0,0.0,0.0,0.28680688336520077
McGinty730,McGinty730:social_stigma:hyp3,2848,340,698,1038,865,173,16.666666666666668,16.570327552986512,0.0,16.570327552986512,0.0,0.0,0.0,0.09633911368015415
McGinty730,McGinty730:social_stigma:hyp4,2848,340,726,1066,871,195,18.29268292682927,18.19887429643527,0.0,18.19887429643527,0.0,0.0,0.0,0.09380863039399624
McGinty730,McGinty730:treatment_support:hyp1,2848,341,350,691,568,123,17.80028943560058,17.51085383502171,0.0,17.51085383502171,0.0,0.0,0.0,0.2894356005788712
McGinty730,McGinty730:treatment_support:hyp2,2848,341,710,1051,875,176,16.74595623215985,16.460513796384397,0.0,16.460513796384397,0.0,0.0,0.0,0.285442435775452
McGinty730,McGinty730:treatment_support:hyp3,2848,341,702,1043,867,176,16.874400767018216,16.778523489932887,0.0,16.778523489932887,0.0,0.0,0.0,0.09587727708533077
McGinty730,McGinty730:treatment_support:hyp4,2848,341,728,1069,874,195,18.24134705332086,18.14780168381665,0.0,18.14780168381665,0.0,0.0,0.0,0.09354536950420954
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp1,2848,340,353,693,570,123,17.748917748917748,17.604617604617605,0.0,17.604617604617605,0.0,0.0,0.0,0.2886002886002886
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp2,2848,340,708,1048,873,175,16.698473282442748,16.50763358778626,0.0,16.50763358778626,0.0,0.0,0.0,0.19083969465648853
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp3,2848,340,702,1042,866,176,16.89059500959693,16.698656429942417,0.0,16.698656429942417,0.0,0.0,0.0,0.19193857965451055
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp4,2848,340,729,1069,874,195,18.24134705332086,18.14780168381665,0.0,18.14780168381665,0.0,0.0,0.0,0.09354536950420954
Melin1066,Melin1066:Capable:hyp1,1682,275,273,548,387,161,29.37956204379562,22.99270072992701,0.0,22.99270072992701,0.36496350364963503,0.0,0.0,9.306569343065693
Melin1066,Melin1066:Capable:hyp2,1682,297,270,567,386,181,31.922398589065256,27.160493827160494,0.0,27.160493827160494,0.3527336860670194,0.0,0.0,7.054673721340388
Melin1066,Melin1066:Capable:hyp3,1682,262,300,562,402,160,28.469750889679716,23.843416370106763,0.0,23.843416370106763,0.1779359430604982,0.0,0.0,6.761565836298933
Melin1066,Melin1066:masculine:hyp1,1682,261,263,524,374,150,28.625954198473284,22.519083969465647,0.0,22.519083969465647,0.38167938931297707,0.0,0.0,8.969465648854962
Melin1066,Melin1066:masculine:hyp2,1682,284,261,545,373,172,31.559633027522935,26.788990825688074,0.0,26.788990825688074,0.3669724770642202,0.0,0.0,7.155963302752294
Melin1066,Melin1066:masculine:hyp3,1682,244,292,536,381,155,28.917910447761194,24.253731343283583,0.0,24.253731343283583,0.18656716417910446,0.0,0.0,6.7164179104477615
Merolla843,Merolla843:foreign_policy:hyp1,611,165,159,324,265,59,18.209876543209877,18.209876543209877,0.0,18.209876543209877,0.0,0.0,0.0,0.0
Merolla843,Merolla843:foreign_policy:hyp2,611,165,173,338,283,55,16.272189349112427,16.272189349112427,0.0,16.272189349112427,0.0,0.0,0.0,0.0
Merolla843,Merolla843:foreign_policy:hyp3,611,173,159,332,276,56,16.867469879518072,16.867469879518072,0.0,16.867469879518072,0.0,0.0,0.0,0.0
Merolla843,Merolla843:hillary_clinton_leadership:hyp1,611,195,211,406,338,68,16.748768472906406,15.763546798029557,0.0,15.763546798029557,0.0,0.0,0.0,0.9852216748768473
Merolla843,Merolla843:hillary_clinton_leadership:hyp2,611,197,211,408,337,71,17.401960784313726,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.9803921568627451
Merolla843,Merolla843:trump_leadership:hyp1,611,195,197,392,316,76,19.387755102040817,18.367346938775512,0.0,18.367346938775512,0.0,0.0,0.0,1.2755102040816326
Merolla843,Merolla843:trump_leadership:hyp2,611,211,197,408,337,71,17.401960784313726,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.9803921568627451
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp1,2113,1049,1052,2101,1582,519,24.70252260828177,23.13184198000952,0.0,23.13184198000952,0.333174678724417,0.0,0.0,2.1418372203712517
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp2,2113,1047,1054,2101,1582,519,24.70252260828177,23.13184198000952,0.0,23.13184198000952,0.333174678724417,0.0,0.0,2.1418372203712517
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp3,2113,518,523,1041,794,247,23.727185398655138,22.382324687800192,0.0,22.382324687800192,0.48030739673390976,0.0,0.0,1.729106628242075
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp1,2113,1054,1053,2107,1587,520,24.679639297579495,23.065970574276225,0.0,23.065970574276225,0.33222591362126247,0.0,0.0,2.230659705742762
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp2,2113,1051,1056,2107,1587,520,24.679639297579495,23.065970574276225,0.0,23.065970574276225,0.33222591362126247,0.0,0.0,2.230659705742762
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp3,2113,523,525,1048,798,250,23.85496183206107,22.423664122137403,0.0,22.423664122137403,0.4770992366412214,0.0,0.0,1.9083969465648856
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp1,2113,1050,1055,2105,1584,521,24.75059382422803,23.135391923990497,0.0,23.135391923990497,0.332541567695962,0.0,0.0,2.2327790973871733
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp2,2113,1050,1055,2105,1584,521,24.75059382422803,23.135391923990497,0.0,23.135391923990497,0.332541567695962,0.0,0.0,2.2327790973871733
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp3,2113,519,524,1043,794,249,23.873441994247365,22.435282837967403,0.0,22.435282837967403,0.4793863854266539,0.0,0.0,1.9175455417066156
MunschS68,MunschS68:Morgan_Committed:hyp1,766,347,360,707,553,154,21.782178217821784,21.4992927864215,0.0,21.4992927864215,0.2828854314002829,0.0,0.0,0.7072135785007072
SchaadS62,SchaadS62:still_identify:hyp1,2116,1051,1059,2110,1637,473,22.417061611374407,22.180094786729857,0.0,22.180094786729857,0.09478672985781991,0.0,0.0,0.47393364928909953
SchaadS62,SchaadS62:still_identify:hyp2,2116,1067,1043,2110,1637,473,22.417061611374407,22.180094786729857,0.0,22.180094786729857,0.09478672985781991,0.0,0.0,0.47393364928909953
SchaadS62,SchaadS62:still_identify:hyp3,2116,1088,1022,2110,1637,473,22.417061611374407,22.180094786729857,0.0,22.180094786729857,0.09478672985781991,0.0,0.0,0.47393364928909953
Schnabel903,Schnabel903:Feminine:hyp1,2789,2056,690,2746,1895,851,30.990531682447195,22.032046613255645,0.0,22.032046613255645,0.0,0.0,0.0,12.672978878368536
Schnabel903,Schnabel903:Masculine:hyp1,2789,2060,693,2753,1904,849,30.8390846349437,21.90337813294588,0.0,21.90337813294588,0.0,0.0,0.0,12.640755539411552
ShannonS2,ShannonS2:tax credit effective:hyp1,2543,407,424,831,509,322,38.74849578820698,23.465703971119133,0.0,20.45728038507822,20.697954271961493,0.0,0.0,23.465703971119133
ShannonS2,ShannonS2:tax credit effective:hyp2,2543,424,417,841,495,346,41.14149821640904,25.68370986920333,0.0,21.40309155766944,21.87871581450654,0.0,0.0,25.68370986920333
ShannonS2,ShannonS2:tax credit effective:hyp3,2543,841,817,1658,1007,651,39.26417370325694,24.60796139927624,0.0,21.23039806996381,20.6875753920386,0.0,0.0,24.60796139927624
Silverman1035,Silverman1035:Americans_Killed:hyp1,1340,260,1073,1333,993,340,25.506376594148538,21.680420105026258,0.0,21.680420105026258,0.0,0.0,0.0,6.151537884471118
Silverman1035,Silverman1035:Americans_Killed:hyp2,1340,262,811,1073,792,281,26.18825722273998,22.18080149114632,0.0,22.18080149114632,0.0,0.0,0.0,6.0577819198508855
Silverman1035,Silverman1035:Americans_Killed:hyp3,1340,262,277,539,402,137,25.41743970315399,21.70686456400742,0.0,21.70686456400742,0.0,0.0,0.0,5.194805194805195
Silverman1035,Silverman1035:Americans_Killed:hyp4,1340,262,258,520,382,138,26.53846153846154,21.923076923076923,0.0,21.923076923076923,0.0,0.0,0.0,6.346153846153846
Silverman1035,Silverman1035:Terrorism_likely:hyp1,1340,250,1045,1295,965,330,25.482625482625483,21.853281853281853,0.0,21.853281853281853,0.0,0.0,0.0,5.9459459459459465
Silverman1035,Silverman1035:Terrorism_likely:hyp2,1340,253,792,1045,774,271,25.933014354066987,22.20095693779904,0.0,22.20095693779904,0.0,0.0,0.0,5.741626794258373
Silverman1035,Silverman1035:Terrorism_likely:hyp3,1340,253,270,523,391,132,25.239005736137667,21.606118546845124,0.0,21.606118546845124,0.0,0.0,0.0,5.162523900573614
Silverman1035,Silverman1035:Terrorism_likely:hyp4,1340,253,249,502,371,131,26.095617529880478,22.111553784860558,0.0,22.111553784860558,0.0,0.0,0.0,5.776892430278884
Silverman1035,Silverman1035:Terrorism_worry:hyp1,1340,256,1065,1321,985,336,25.435276305828918,21.650264950794853,0.0,21.650264950794853,0.0,0.0,0.0,6.056018168054504
Silverman1035,Silverman1035:Terrorism_worry:hyp2,1340,259,806,1065,789,276,25.91549295774648,22.065727699530516,0.0,22.065727699530516,0.0,0.0,0.0,5.821596244131456
Silverman1035,Silverman1035:Terrorism_worry:hyp3,1340,259,274,533,399,134,25.140712945590995,21.575984990619137,0.0,21.575984990619137,0.0,0.0,0.0,5.065666041275797
Silverman1035,Silverman1035:Terrorism_worry:hyp4,1340,259,258,517,381,136,26.30560928433269,22.05029013539652,0.0,22.05029013539652,0.0,0.0,0.0,5.996131528046422
Stoker1063,Stoker1063:Anger:hyp1,1826,884,902,1786,1312,474,26.539753639417693,20.212765957446805,0.0,20.212765957446805,0.0,0.0,0.0,8.790593505039194
Stoker1063,Stoker1063:Serious:hyp1,1826,884,903,1787,1312,475,26.580861779518745,20.145495243424737,0.0,20.145495243424737,0.0,0.0,0.0,8.89759373251259
Stoker1063,Stoker1063:Worry:hyp1,1826,883,905,1788,1310,478,26.7337807606264,20.246085011185684,0.0,20.246085011185684,0.0,0.0,0.0,8.94854586129754
Terman1029,Terman1029:donating to HRAC:hyp1,1912,374,1495,1869,1438,431,23.060460139111825,23.060460139111825,0.0,23.060460139111825,0.0,0.0,0.0,
Terman1029,Terman1029:donating to HRAC:hyp2,1912,380,383,763,594,169,22.14941022280472,22.14941022280472,0.0,22.14941022280472,0.0,0.0,0.0,
Terman1029,Terman1029:donating to HRAC:hyp3,1912,381,351,732,552,180,24.59016393442623,24.59016393442623,0.0,24.59016393442623,0.0,0.0,0.0,
Terman1029,Terman1029:naitonalist superiority:hyp1,1912,372,1506,1878,1444,434,23.109691160809373,23.109691160809373,0.0,23.109691160809373,0.0,0.0,0.0,
Terman1029,Terman1029:naitonalist superiority:hyp2,1912,385,387,772,599,173,22.409326424870468,22.409326424870464,0.0,22.409326424870464,0.0,0.0,0.0,
Terman1029,Terman1029:naitonalist superiority:hyp3,1912,384,350,734,554,180,24.52316076294278,24.52316076294278,0.0,24.52316076294278,0.0,0.0,0.0,
Terman1029,Terman1029:perception of domestic human rights conditions:hyp1,1912,374,1505,1879,1443,436,23.203831825439064,23.203831825439064,0.0,23.203831825439064,0.0,0.0,0.0,
Terman1029,Terman1029:perception of domestic human rights conditions:hyp2,1912,385,384,769,597,172,22.3667100130039,22.366710013003903,0.0,22.366710013003903,0.0,0.0,0.0,
Terman1029,Terman1029:perception of domestic human rights conditions:hyp3,1912,385,351,736,554,182,24.72826086956522,24.728260869565215,0.0,24.728260869565215,0.0,0.0,0.0,
WallaceS9,WallaceS9:credibility:hyp1,2007,228,769,997,736,261,26.17853560682046,24.473420260782348,0.0,24.473420260782348,0.6018054162487462,0.0,0.0,1.9057171514543632
WallaceS9,WallaceS9:president_approval:hyp1,2007,229,773,1002,740,262,26.147704590818364,24.451097804391217,0.0,24.451097804391217,0.5988023952095809,0.0,0.0,1.996007984031936
Williamson859,Williamson859:Food stamps:hyp1,1527,504,504,1008,757,251,24.900793650793652,23.214285714285715,0.0,23.214285714285715,0.1984126984126984,0.0,0.0,2.6785714285714284
Williamson859,Williamson859:Military:hyp1,1527,504,503,1007,757,250,24.826216484607745,23.13803376365442,0.0,23.13803376365442,0.19860973187686196,0.0,0.0,2.6812313803376364
Williamson859,Williamson859:Social Security:hyp1,1527,505,503,1008,757,251,24.900793650793652,23.115079365079367,0.0,23.115079365079367,0.1984126984126984,0.0,0.0,2.7777777777777777
bolsenM6,bolsenM6:Providing Personal Pronouns:hyp1,1601,403,387,790,591,199,25.189873417721518,24.30379746835443,0.0,24.30379746835443,0.25316455696202533,0.0,0.0,1.2658227848101267
bolsenM6,bolsenM6:Providing Personal Pronouns:hyp2,1601,405,387,792,603,189,23.863636363636363,23.106060606060606,0.0,23.106060606060606,0.3787878787878788,0.0,0.0,1.3888888888888888
bolsenM6,bolsenM6:Providing Personal Pronouns:hyp3,1601,398,387,785,604,181,23.05732484076433,22.420382165605098,0.0,22.420382165605098,0.25477707006369427,0.0,0.0,0.89171974522293
bolsenM6,bolsenM6:They/Them Pronouns in Forms:hyp1,1601,405,385,790,589,201,25.443037974683545,24.30379746835443,0.0,24.30379746835443,0.25316455696202533,0.0,0.0,1.5189873417721518
bolsenM6,bolsenM6:They/Them Pronouns in Forms:hyp2,1601,405,385,790,602,188,23.79746835443038,23.037974683544306,0.0,23.037974683544306,0.37974683544303794,0.0,0.0,1.3924050632911391
bolsenM6,bolsenM6:They/Them Pronouns in Forms:hyp3,1601,398,385,783,602,181,23.116219667943806,22.47765006385696,0.0,22.47765006385696,0.2554278416347382,0.0,0.0,0.8939974457215836
bolsenM6,bolsenM6:Using They/Them Pronouns:hyp1,1601,407,384,791,590,201,25.410872313527182,24.27307206068268,0.0,24.27307206068268,0.2528445006321113,0.0,0.0,1.5170670037926675
bolsenM6,bolsenM6:Using They/Them Pronouns:hyp2,1601,405,384,789,600,189,23.954372623574145,23.193916349809886,0.0,23.193916349809886,0.38022813688212925,0.0,0.0,1.394169835234474
bolsenM6,bolsenM6:Using They/Them Pronouns:hyp3,1601,398,384,782,601,181,23.145780051150894,22.506393861892583,0.0,22.506393861892583,0.2557544757033248,0.0,0.0,0.8951406649616368
bucci1408,bucci1408:Rewarding:hyp1,2203,1074,1096,2170,1563,607,27.972350230414747,27.972350230414744,0.0,27.972350230414744,,0.0,0.0,
