study_id,effect_id,demographic_variable,category,control_pct,treatment_pct,abs_pp_difference,diagnostic_only
Blair1131,Blair1131:Approve_Handling:hyp1,age_5,Younger than 50,51.32275132275132,51.32275132275132,0.0,True
Blair1131,Blair1131:Approve_Handling:hyp1,EDUC4,College,30.158730158730158,33.33333333333333,3.1746031746031704,True
Blair1131,Blair1131:Approve_Handling:hyp1,EDUC4,Non-College,69.84126984126983,66.66666666666666,3.1746031746031775,True
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,Conservative,25.925925925925924,26.984126984126984,1.0582010582010604,True
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,Liberal,43.386243386243386,41.7989417989418,1.5873015873015888,True
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,Moderate,17.989417989417987,21.693121693121693,3.703703703703706,True
Blair1131,Blair1131:Approve_Handling:hyp1,ideo_3,__MISSING__,12.698412698412698,9.523809523809524,3.174603174603174,True
Blair1131,Blair1131:Approve_Handling:hyp2,GENDER,Female,47.44897959183674,48.67724867724868,1.228269085411938,True
Blair1131,Blair1131:Approve_Handling:hyp2,GENDER,Male,52.55102040816326,51.32275132275132,1.228269085411938,True
Blair1131,Blair1131:Approve_Handling:hyp2,race_4,Black,13.26530612244898,7.4074074074074066,5.857898715041573,True
Blair1131,Blair1131:Approve_Handling:hyp2,race_4,White,60.204081632653065,71.95767195767195,11.753590325018884,True
Blair1131,Blair1131:Approve_Handling:hyp2,race_4,__MISSING__,26.53061224489796,20.634920634920633,5.895691609977327,True
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,Democrat,51.02040816326531,48.67724867724868,2.3431594860166314,True
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,Independent,14.795918367346939,17.46031746031746,2.6643990929705197,True
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,Republican,33.6734693877551,32.804232804232804,0.8692365835222944,True
Blair1131,Blair1131:Approve_Handling:hyp2,pid_3,__MISSING__,0.5102040816326531,1.0582010582010581,0.5479969765684051,True
Blair1131,Blair1131:Approve_Handling:hyp2,age_5,Older than 50,43.36734693877551,48.148148148148145,4.780801209372633,True
Blair1131,Blair1131:Approve_Handling:hyp2,age_5,Younger than 50,56.63265306122449,51.85185185185185,4.78080120937264,True
Blair1131,Blair1131:Approve_Handling:hyp2,EDUC4,College,33.16326530612245,38.62433862433862,5.461073318216172,True
Blair1131,Blair1131:Approve_Handling:hyp2,EDUC4,Non-College,66.83673469387756,61.37566137566137,5.461073318216187,True
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,Conservative,20.918367346938776,24.33862433862434,3.4202569916855623,True
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,Liberal,40.30612244897959,41.7989417989418,1.492819349962204,True
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,Moderate,29.591836734693878,28.04232804232804,1.549508692365837,True
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,__MISSING__,9.183673469387756,5.82010582010582,3.3635676492819364,True
Braman751,Braman751:legitimacy:hyp1,GENDER,Female,48.014440433213,44.48818897637795,3.5262514568350483,True
Braman751,Braman751:legitimacy:hyp1,GENDER,Male,51.985559566786996,55.51181102362205,3.5262514568350554,True
Braman751,Braman751:legitimacy:hyp1,race_4,Black,10.108303249097473,7.480314960629922,2.6279882884675505,True
Braman751,Braman751:legitimacy:hyp1,race_4,White,69.31407942238266,73.22834645669292,3.9142670343102566,True
Braman751,Braman751:legitimacy:hyp1,race_4,__MISSING__,20.577617328519857,19.291338582677163,1.2862787458426936,True
Braman751,Braman751:legitimacy:hyp1,pid_3,Democrat,46.57039711191336,46.06299212598425,0.5074049859291065,True
Braman751,Braman751:legitimacy:hyp1,pid_3,Independent,3.6101083032490973,1.968503937007874,1.6416043662412232,True
Braman751,Braman751:legitimacy:hyp1,pid_3,Republican,49.81949458483754,51.96850393700787,2.1490093521703244,True
Braman751,Braman751:legitimacy:hyp1,age_5,Older than 50,54.51263537906137,54.7244094488189,0.21177406975753144,True
Braman751,Braman751:legitimacy:hyp1,age_5,Younger than 50,45.48736462093863,45.2755905511811,0.21177406975753144,True
Braman751,Braman751:legitimacy:hyp1,EDUC4,College,36.462093862815884,31.496062992125985,4.966030870689899,True
Braman751,Braman751:legitimacy:hyp1,EDUC4,Non-College,63.537906137184116,68.50393700787401,4.966030870689899,True
Braman751,Braman751:legitimacy:hyp1,ideo_3,Conservative,38.26714801444043,37.00787401574803,1.2592739986924002,True
Braman751,Braman751:legitimacy:hyp1,ideo_3,Liberal,30.324909747292416,29.527559055118108,0.7973506921743088,True
Braman751,Braman751:legitimacy:hyp1,ideo_3,Moderate,30.685920577617328,33.46456692913386,2.7786463515165316,True
Braman751,Braman751:legitimacy:hyp1,ideo_3,__MISSING__,0.7220216606498195,0.0,0.7220216606498195,True
Braman751,Braman751:legitimacy:hyp2,GENDER,Female,48.014440433213,49.056603773584904,1.042163340371907,True
Braman751,Braman751:legitimacy:hyp2,GENDER,Male,51.985559566786996,50.943396226415096,1.0421633403719,True
Braman751,Braman751:legitimacy:hyp2,race_4,Black,10.108303249097473,9.056603773584905,1.0516994755125673,True
Braman751,Braman751:legitimacy:hyp2,race_4,White,69.31407942238266,70.94339622641509,1.6293168040324275,True
Braman751,Braman751:legitimacy:hyp2,race_4,__MISSING__,20.577617328519857,20.0,0.5776173285198567,True
Braman751,Braman751:legitimacy:hyp2,pid_3,Democrat,46.57039711191336,47.54716981132076,0.9767726994073982,True
Braman751,Braman751:legitimacy:hyp2,pid_3,Independent,3.6101083032490973,3.3962264150943398,0.2138818881547575,True
Braman751,Braman751:legitimacy:hyp2,pid_3,Republican,49.81949458483754,49.056603773584904,0.7628908112526389,True
Braman751,Braman751:legitimacy:hyp2,age_5,Older than 50,54.51263537906137,58.11320754716981,3.6005721681084353,True
Braman751,Braman751:legitimacy:hyp2,age_5,Younger than 50,45.48736462093863,41.88679245283019,3.6005721681084353,True
Braman751,Braman751:legitimacy:hyp2,EDUC4,College,36.462093862815884,32.83018867924528,3.631905183570602,True
Braman751,Braman751:legitimacy:hyp2,EDUC4,Non-College,63.537906137184116,67.16981132075472,3.631905183570602,True
Braman751,Braman751:legitimacy:hyp2,ideo_3,Conservative,38.26714801444043,37.735849056603776,0.531298957836654,True
Braman751,Braman751:legitimacy:hyp2,ideo_3,Liberal,30.324909747292416,26.037735849056602,4.287173898235814,True
Braman751,Braman751:legitimacy:hyp2,ideo_3,Moderate,30.685920577617328,35.84905660377358,5.1631360261562556,True
Braman751,Braman751:legitimacy:hyp2,ideo_3,__MISSING__,0.7220216606498195,0.37735849056603776,0.3446631700837818,True
Braman751,Braman751:pass_legislation:hyp1,GENDER,Female,45.50561797752809,48.10810810810811,2.6024901305800228,True
Braman751,Braman751:pass_legislation:hyp1,GENDER,Male,54.49438202247191,51.891891891891895,2.6024901305800157,True
Braman751,Braman751:pass_legislation:hyp1,race_4,Black,7.584269662921349,9.72972972972973,2.145460066808381,True
Braman751,Braman751:pass_legislation:hyp1,race_4,White,71.06741573033707,71.89189189189189,0.8244761615548128,True
Braman751,Braman751:pass_legislation:hyp1,race_4,__MISSING__,21.34831460674157,18.37837837837838,2.969936228363192,True
Braman751,Braman751:pass_legislation:hyp1,pid_3,Democrat,46.62921348314607,46.21621621621622,0.4129972669298496,True
Braman751,Braman751:pass_legislation:hyp1,pid_3,Independent,2.8089887640449436,2.7027027027027026,0.10628606134224095,True
Braman751,Braman751:pass_legislation:hyp1,pid_3,Republican,50.56179775280899,51.08108108108108,0.5192833282720883,True
Braman751,Braman751:pass_legislation:hyp1,age_5,Older than 50,55.89887640449438,56.75675675675676,0.8578803522623772,True
Braman751,Braman751:pass_legislation:hyp1,age_5,Younger than 50,44.10112359550562,43.24324324324324,0.8578803522623772,True
Braman751,Braman751:pass_legislation:hyp1,EDUC4,College,33.70786516853933,32.972972972972975,0.7348921955663528,True
Braman751,Braman751:pass_legislation:hyp1,EDUC4,Non-College,66.29213483146067,67.02702702702703,0.7348921955663599,True
Braman751,Braman751:pass_legislation:hyp1,ideo_3,Conservative,38.764044943820224,36.486486486486484,2.2775584573337397,True
Braman751,Braman751:pass_legislation:hyp1,ideo_3,Liberal,30.61797752808989,27.027027027027028,3.5909505010628635,True
Braman751,Braman751:pass_legislation:hyp1,ideo_3,Moderate,30.337078651685395,36.486486486486484,6.149407834801089,True
Braman751,Braman751:pass_legislation:hyp1,ideo_3,__MISSING__,0.2808988764044944,0.0,0.2808988764044944,True
Braman751,Braman751:scholar_credibility:hyp1,GENDER,Female,45.45454545454545,41.66666666666667,3.787878787878782,True
Braman751,Braman751:scholar_credibility:hyp1,GENDER,Male,54.54545454545454,58.333333333333336,3.787878787878796,True
Braman751,Braman751:scholar_credibility:hyp1,race_4,Black,7.954545454545454,7.142857142857142,0.8116883116883118,True
Braman751,Braman751:scholar_credibility:hyp1,race_4,White,72.72727272727273,72.02380952380952,0.7034632034632153,True
Braman751,Braman751:scholar_credibility:hyp1,race_4,__MISSING__,19.318181818181817,20.833333333333336,1.5151515151515191,True
Braman751,Braman751:scholar_credibility:hyp1,pid_3,Democrat,46.02272727272727,47.61904761904761,1.59632034632034,True
Braman751,Braman751:scholar_credibility:hyp1,pid_3,Independent,2.272727272727273,1.7857142857142856,0.48701298701298734,True
Braman751,Braman751:scholar_credibility:hyp1,pid_3,Republican,51.70454545454546,50.595238095238095,1.1093073593073655,True
Braman751,Braman751:scholar_credibility:hyp1,age_5,Older than 50,53.40909090909091,54.166666666666664,0.7575757575757578,True
Braman751,Braman751:scholar_credibility:hyp1,age_5,Younger than 50,46.590909090909086,45.83333333333333,0.7575757575757578,True
Braman751,Braman751:scholar_credibility:hyp1,EDUC4,College,41.47727272727273,32.73809523809524,8.739177489177486,True
Braman751,Braman751:scholar_credibility:hyp1,EDUC4,Non-College,58.52272727272727,67.26190476190477,8.7391774891775,True
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,Conservative,39.20454545454545,36.904761904761905,2.299783549783548,True
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,Liberal,31.818181818181817,30.952380952380953,0.865800865800864,True
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,Moderate,28.40909090909091,32.142857142857146,3.733766233766236,True
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,__MISSING__,0.5681818181818182,0.0,0.5681818181818182,True
Braman751,Braman751:scholar_credibility:hyp2,GENDER,Female,45.45454545454545,43.82716049382716,1.6273849607182953,True
Braman751,Braman751:scholar_credibility:hyp2,GENDER,Male,54.54545454545454,56.17283950617284,1.6273849607183024,True
Braman751,Braman751:scholar_credibility:hyp2,race_4,Black,7.954545454545454,4.938271604938271,3.016273849607183,True
Braman751,Braman751:scholar_credibility:hyp2,race_4,White,72.72727272727273,74.07407407407408,1.3468013468013424,True
Braman751,Braman751:scholar_credibility:hyp2,race_4,__MISSING__,19.318181818181817,20.98765432098765,1.669472502805835,True
Braman751,Braman751:scholar_credibility:hyp2,pid_3,Democrat,46.02272727272727,50.617283950617285,4.5945566778900115,True
