outer_study,mconst_pred,outer_mse,outer_mae
AnsonBRIEF60,2.0794984266444194,18.904836191002236,3.8328053049512953
Blair1131,2.02751115025238,13.819580052045778,2.980914588057481
Braman751,1.8211821273379316,23.219848806802236,4.174999973549822
CalarcoS38,0.9680157931329243,1501.7046197503566,32.38217829563232
Campbell1308,2.0523841076245684,10.427029657032335,2.992261415335919
Cohen1099,1.971688852967,22.96401412623056,3.89674077804852
CorstangeBRIEF69,1.976366447144282,2.3187758027276497,1.3837064676617494
Enos700,1.7869874324247845,27.405596852288188,5.235035515857384
FaheyS78,1.9756037967500413,0.37463186170022467,0.6120717782255809
FarrowS6,2.0486624516346903,8.27649653038686,2.8768900796497006
Haaland874,2.0642188028675097,15.890577839280638,3.3591369678670984
HankinsonS22,2.3750297873368407,168.85124739398665,12.994277486416344
Howard823,2.0339389271752615,7.26316281034313,2.420460821407402
Iles1294,2.058796923010018,15.852520545551705,3.4334607758854196
Kennedy1017,1.8807667381042579,11.900118944075443,3.117079268856827
KlarS44,2.0797550790128643,15.758619491406526,3.8407615283730734
McGinty730,2.1222381920287514,68.76597508347567,7.378108464312191
Melin1066,1.664358992825052,99.38051770051062,9.036517143449089
Merolla843,2.003900312182983,11.960861668203739,2.868635628912778
Mezzapelle1439,1.9650128808878418,1.4534238274877445,0.9368817348513679
MunschS68,1.5874395724698098,130.4396789834195,11.421019174461598
SchaadS62,2.234244993927038,82.3484964097169,8.629948890712463
Schnabel903,1.982592297613219,1.2026444537819705,0.8287153049840865
ShannonS2,2.143631186283156,48.145889228502256,5.820920853752123
Silverman1035,2.0031768961441756,14.953778486313182,2.629813423449612
Stoker1063,2.3223840313483937,131.56033116048545,11.362259050774497
Terman1029,2.021103111395705,6.856450676800404,2.2313494163469993
WallaceS9,1.4341705004788932,265.4435615319152,16.17236040618002
Williamson859,2.024230902708457,5.4933946508122125,2.119512062936457
bolsenM6,1.9869692744857075,7.998532618104,2.428047892023379
bucci1408,1.9357859328267504,0.38723489175110026,0.6222820033964507
