model,study_id,mse
MCONST,AnsonBRIEF60,18.904836191002236
MCONST,Blair1131,13.819580052045778
MCONST,Braman751,23.219848806802236
MCONST,CalarcoS38,1501.7046197503566
MCONST,Campbell1308,10.427029657032335
MCONST,Cohen1099,22.96401412623056
MCONST,CorstangeBRIEF69,2.3187758027276497
MCONST,Enos700,27.405596852288188
MCONST,FaheyS78,0.37463186170022467
MCONST,FarrowS6,8.27649653038686
MCONST,Haaland874,15.890577839280638
MCONST,HankinsonS22,168.85124739398665
MCONST,Howard823,7.26316281034313
MCONST,Iles1294,15.852520545551705
MCONST,Kennedy1017,11.900118944075443
MCONST,KlarS44,15.758619491406526
MCONST,McGinty730,68.76597508347567
MCONST,Melin1066,99.38051770051062
MCONST,Merolla843,11.960861668203739
MCONST,Mezzapelle1439,1.4534238274877445
MCONST,MunschS68,130.4396789834195
MCONST,SchaadS62,82.3484964097169
MCONST,Schnabel903,1.2026444537819705
MCONST,ShannonS2,48.145889228502256
MCONST,Silverman1035,14.953778486313182
MCONST,Stoker1063,131.56033116048545
MCONST,Terman1029,6.856450676800404
MCONST,WallaceS9,265.4435615319152
MCONST,Williamson859,5.4933946508122125
MCONST,bolsenM6,7.998532618104
MCONST,bucci1408,0.38723489175110026
M2,AnsonBRIEF60,23.175276784345073
M2,Blair1131,11.45135647330687
M2,Braman751,82.0092510071477
M2,CalarcoS38,1630.0119996191672
M2,Campbell1308,5.223035147724968
M2,Cohen1099,22.724191650777847
M2,CorstangeBRIEF69,2.067301561102162
M2,Enos700,23.338020714460505
M2,FaheyS78,0.04646434712708897
M2,FarrowS6,5.909708138252115
M2,Haaland874,10.37838869942754
M2,HankinsonS22,102.6038574866173
M2,Howard823,5.096373067368846
M2,Iles1294,54.68676009652142
M2,Kennedy1017,35.57923663686294
M2,KlarS44,13.932910184998539
M2,McGinty730,14.015379751469844
M2,Melin1066,251.59653153618635
M2,Merolla843,22.451275989686337
M2,Mezzapelle1439,1.5883928412073973
M2,MunschS68,143.57673532562652
M2,SchaadS62,97.99984331775686
M2,Schnabel903,0.6319990339594685
M2,ShannonS2,79.74350331138118
M2,Silverman1035,25.0541416318479
M2,Stoker1063,543.8523436967308
M2,Terman1029,17.02809938863972
M2,WallaceS9,144.80926106015414
M2,Williamson859,6.834581369493383
M2,bolsenM6,8.720588468861942
M2,bucci1408,52.6950386016452
M2R,AnsonBRIEF60,9.868220334170072
M2R,Blair1131,9.410107616841316
M2R,Braman751,42.156998188053834
M2R,CalarcoS38,2069.5244710429115
M2R,Campbell1308,3.9070148105754483
M2R,Cohen1099,23.46186150799172
M2R,CorstangeBRIEF69,2.511805810610613
M2R,Enos700,43.80207321753662
M2R,FaheyS78,0.6042548017910108
M2R,FarrowS6,2.346159907793857
M2R,Haaland874,8.358262715360638
M2R,HankinsonS22,128.91505234178996
M2R,Howard823,2.4969548278077136
M2R,Iles1294,14.318093160288438
M2R,Kennedy1017,22.13606129902318
M2R,KlarS44,7.450092235266399
M2R,McGinty730,61.163510617364096
M2R,Melin1066,152.65967546088962
M2R,Merolla843,11.2880586249049
M2R,Mezzapelle1439,2.73214758735493
M2R,MunschS68,159.33579041397022
M2R,SchaadS62,63.317405072375855
M2R,Schnabel903,0.8461150579268579
M2R,ShannonS2,40.267896219384724
M2R,Silverman1035,12.677993089633803
M2R,Stoker1063,279.8131621439538
M2R,Terman1029,4.084770185816128
M2R,WallaceS9,325.9033387422246
M2R,Williamson859,1.7618363059815465
M2R,bolsenM6,6.694262667972433
M2R,bucci1408,19.23645971966987
M3,AnsonBRIEF60,25.517023824744612
M3,Blair1131,11.342451626083887
M3,Braman751,84.28737505977135
M3,CalarcoS38,1643.8450403055185
M3,Campbell1308,5.464281653400259
M3,Cohen1099,22.723554905461537
M3,CorstangeBRIEF69,2.077271372479945
M3,Enos700,23.44128021473412
M3,FaheyS78,0.0507880273966175
M3,FarrowS6,5.965410969753007
M3,Haaland874,10.467018731116093
M3,HankinsonS22,105.80568061760452
M3,Howard823,5.125255370254276
M3,Iles1294,64.30080802375454
M3,Kennedy1017,36.78434715782321
M3,KlarS44,14.030359903263752
M3,McGinty730,14.032074779814616
M3,Melin1066,251.45523447890287
M3,Merolla843,23.3559009461271
M3,Mezzapelle1439,1.545014580330103
M3,MunschS68,143.3246116791015
M3,SchaadS62,97.94901241520706
M3,Schnabel903,0.6413988055364284
M3,ShannonS2,79.9998747028011
M3,Silverman1035,25.45426947772665
M3,Stoker1063,619.0611155823549
M3,Terman1029,17.58321307943966
M3,WallaceS9,156.54553884461376
M3,Williamson859,6.891025523497607
M3,bolsenM6,8.55558048465956
M3,bucci1408,54.076858763664106
M3R,AnsonBRIEF60,14.755802210308723
M3R,Blair1131,8.971984992622577
