outer_study,inner_selected_w,outer_mse,outer_mae
AnsonBRIEF60,0.0,18.904836191002236,3.8328053049512953
Blair1131,0.0,13.819580052045778,2.980914588057481
Braman751,0.0,23.219848806802236,4.174999973549822
CalarcoS38,0.0,1501.7046197503566,32.38217829563232
Campbell1308,0.0,10.427029657032335,2.992261415335919
Cohen1099,0.0,22.96401412623056,3.89674077804852
CorstangeBRIEF69,0.0,2.3187758027276497,1.3837064676617494
Enos700,0.0,27.405596852288188,5.235035515857384
FaheyS78,0.0,0.37463186170022467,0.6120717782255809
FarrowS6,0.0,8.27649653038686,2.8768900796497006
Haaland874,0.0,15.890577839280638,3.3591369678670984
HankinsonS22,0.0,168.85124739398665,12.994277486416344
Howard823,0.0,7.26316281034313,2.420460821407402
Iles1294,0.0,15.852520545551705,3.4334607758854196
Kennedy1017,0.0,11.900118944075443,3.117079268856827
KlarS44,0.0,15.758619491406526,3.8407615283730734
McGinty730,0.0,68.76597508347567,7.378108464312191
Melin1066,0.1,111.39526859054799,9.547119190167946
Merolla843,0.0,11.960861668203739,2.868635628912778
Mezzapelle1439,0.0,1.4534238274877445,0.9368817348513679
MunschS68,0.0,130.4396789834195,11.421019174461598
SchaadS62,0.0,82.3484964097169,8.629948890712463
Schnabel903,0.0,1.2026444537819705,0.8287153049840865
ShannonS2,0.0,48.145889228502256,5.820920853752123
Silverman1035,0.0,14.953778486313182,2.629813423449612
Stoker1063,0.5,302.2183178087643,17.265519379359304
Terman1029,0.0,6.856450676800404,2.2313494163469993
WallaceS9,0.0,265.4435615319152,16.17236040618002
Williamson859,0.0,5.4933946508122125,2.119512062936457
bolsenM6,0.0,7.998532618104,2.428047892023379
bucci1408,0.0,0.38723489175110026,0.6222820033964507
